SIKO 32″ SMART TV-2GB  32D7

Component	Specification
BRAND	SIKO
MODEL	32D7
DISPLAY TYPE	LED
COLOUR	FULL BLACK
VOICE	❌
ANDROID VERSION	11.0
BODY	GOOD QUALITY FULL GLOSSY PLASTIC
TV SYSTEM	PAL ; NTSC ; SECAM
RAM	2GB
ROM	16GB
SCREEN SIZE	32 INCH (813mm)
STORE	APP STORE
YOUTUBE	YES
NETFLIX	YES
AMAZON PRIME	❌
WALL MOUNT	YES
DISH	YES
WIRELESS NETWORK	YES
WIRED NETWORK	YES
ASPECT RATIO	16:9 & 4:3
RESOLUTION	1920 x 1080
VIEWING ANGLE	H 178℃ / V 178℃
BACKLIGHT TYPE	DLED
CONTRAST	3000:1
RESPONSE TIME	20ms
DYNAMIC BACKLIGHT ADJUST	YES
DEFAULT ORIENTATION	LANDSCAPE
COMB FILTER	3D
NOISE REDUCTION	3D
DE-INTERLACE	3D
CPU CORES	4 CORE
CORE ARCHITECTURE	2x ARM Cortex-A55
INSTRUCTION SET	64-bit ARMv8-A
GPU VENDOR	ARM
GPU VERSION	OpenGL Es 7058a42
API LEVEL	28
KERNEL ARCHITECTURE	armv71
KERNEL VERSION	4.14.94
GOOGLE PLAY SERVICE VERSION	18.7.19 (080306-262610125)
HDMI INPUT	Version: 1.3 / 1.4
USB	2.0
AV OUTPUT	2
RF INPUT	1
SOUND CONTROL	2CH SPEAKER SYSTEM
LAN INPUT	1
COAXIAL OUTPUT	❌
3.5 mm AUDIO OUTPUT	1
AUDIO	MP3/WMA/AC3
IMAGE	JPG, JPEG, PNG, BMP
VIDEO	MPEG, AVI, MOV, MKV, DAT, MP4, VOB
AUDIO OUTPUT	1 x 10W
SOUND EFFECT	STEREO, SURROUND SOUND
SPEAKER POSITION	BACK SIDE TWO STEREO
POWER SUPPLY	AC 110v – 240v 50/60 Hz
STANDBY POWER CONSUMPTION	<0.5w
MAXIMUM POWER CONSUMPTION	75w
QUICK PANEL REPLACEMENT GUARANTEE	1 YEARS
QUICK SPARE PARTS GUARANTEE	1 YEARS
BEST FREE SERVICE WARRANTY	5 YEARS
