Samsung 43″ 4K Smart UHD TV
Samsung 43″ 4K Smart UHD TV

*Free Gift Available

HDR (High Dynamic Range)
HDR 10
Auto Motion Plus
Dolby Digital Plus
Sound Output (RMS) 20W
Wifi
HDMI
USB..


Description
Series	8
Screen Size	1m 38cm (55″)
Resolution	3,840 x 2,160
Picture Engine	Crystal Processor 4K
PQI (Picture Quality Index)	2200
HDR (High Dynamic Range)	HDR
HDR 10	Support
Contrast Enhancer	Yes
Auto Motion Plus	Yes
Dolby Digital Plus	Yes
Sound Output (RMS)	20W
Speaker Type	2CH
Bluetooth Audio	Yes
Operating System	Tizen™
Mobile to TV – Mirroring, DLNA	Yes
TV Sound to Mobile	Yes
Sound Mirroring	Yes
WiFi Direct	Yes
HDMI	3
USB	2
Design	AirSlim
Power Supply	AC220-240V 50/60Hz
Power Consumption (Max)	125 W
Set Size with Stand (WxHxD)	965.5 x 600.1 x 195.1 mm
Set Size without Stand (WxHxD)	965.5 x 559.8 x 25.7 mm
